node_index,x_m,z_m
0,18.1498769268587,12.0217378775188
1,18.0788080191686,11.9444448612771
2,18.0076030499771,11.8672771713904
3,17.9362617200102,11.7902355291536
4,17.8647837308372,11.7133206602154
5,17.793168784901,11.6365332945973
6,17.7214165855481,11.5598741667128
7,17.6495268370591,11.4833440153855
8,17.5774992446798,11.4069435838681
9,17.5053335146529,11.3306736198607
10,17.4330293542495,11.2545348755293
11,17.3605864718018,11.1785281075236
12,17.2880045767359,11.1026540769952
13,17.2152833796045,11.0269135496153
14,17.1424225921212,10.9513072955927
15,17.0694219271947,10.8758360896909
16,16.9962810989626,10.8005007112454
17,16.9229998228274,10.7253019441811
18,16.8495778154914,10.6502405770289
19,16.776014794993,10.5753174029426
20,16.7023104807432,10.5005332197155
21,16.6284645935621,10.4258888297961
22,16.5544768557169,10.3513850403048
23,16.4803469909596,10.2770226630495
24,16.4060747245651,10.202802514541
25,16.3316597833705,10.1287254160084
26,16.2571018958143,10.0547921934143
27,16.182400791976,9.98100367746942
28,16.1075562036172,9.90736070364714
29,16.0325678642214,9.83386411219785
30,15.9574355090363,9.76051474816278
31,15.8821588751154,9.68731346138766
32,15.80673770136,9.61426110653609
33,15.7311717285627,9.54135854310251
34,15.6554606994502,9.4686066354249
35,15.5796043587279,9.39600625269712
36,15.5036024531237,9.32355826898094
37,15.4274547314336,9.25126356321764
38,15.3511609445666,9.17912301923931
39,15.2747208455911,9.10713752577975
40,15.1981341897814,9.035307976485
41,15.1214007346647,8.96363526992343
42,15.044520240069,8.89212030959547
43,14.9674924681707,8.82076400394289
44,14.8903171835439,8.74956726635771
45,14.8129941532093,8.67853101519058
46,14.7355231466842,8.60765617375876
47,14.6579039360325,8.5369436703537
48,14.580136295916,8.46639443824801
49,14.5022200036453,8.39600941570208
50,14.4241548392323,8.3257895459701
51,14.3459405854424,8.25573577730568
52,14.2675770278476,8.18584906296684
53,14.18906395488,8.11613036122055
54,14.1104011578863,8.04658063534671
55,14.0315884311821,7.97720085364153
56,13.9526255721076,7.90799198942043
57,13.8735123810829,7.83895502102025
58,13.7942486616647,7.77009093180099
59,13.7148342206033,7.70140071014681
60,13.6352688678996,7.63288534946656
61,13.5555524168638,7.56454584819353
62,13.4756846841731,7.49638320978467
63,13.3956654899317,7.42839844271911
64,13.3154946577299,7.36059256049597
65,13.2351720147042,7.29296658163154
66,13.1546973915986,7.22552152965577
67,13.0740706228255,7.15825843310795
68,12.9932915465274,7.0911783255318
69,12.9123600046397,7.0242822454697
70,12.8312758429531,6.95757123645625
71,12.7500389111777,6.89104634701098
72,12.668649063006,6.82470863063034
73,12.5871061561785,6.75855914577887
74,12.5054100525477,6.69259895587953
75,12.4235606181445,6.62682912930327
76,12.3415577232436,6.56125073935762
77,12.2594012424302,6.49586486427461
78,12.1770910546676,6.43067258719763
79,12.094627043364,6.36567499616751
80,12.0120090964411,6.30087318410769
81,11.9292371064023,6.2362682488084
82,11.8463109704023,6.17186129290997
83,11.7632305903159,6.10765342388517
84,11.6799958728087,6.04364575402055
85,11.5966067294072,5.97983940039684
86,11.5130630765696,5.91623548486833
87,11.4293648357578,5.85283513404121
88,11.3455119335085,5.78963947925092
89,11.2615043015061,5.72664965653844
90,11.177341876655,5.66386680662548
91,11.0930246011532,5.60129207488863
92,11.0085524225651,5.5389266113324
93,10.9239252938963,5.47677157056115
94,10.8391431736675,5.41482811174986
95,10.7542060259892,5.35309739861382
96,10.6691138206372,5.29158059937707
97,10.5838665331277,5.23027888673974
98,10.4984641447933,5.16919343784417
99,10.4129066428591,5.10832543423976
100,10.3271940205195,5.04767606184673
101,10.2413262770147,4.98724651091848
102,10.155303417708,4.92703797600277
103,10.0691254541632,4.86705165590165
104,9.98279240422241,4.80728875363006
105,9.89630429208397,4.74775047637309
106,9.80966114838065,4.68843803544198
107,9.7228630102582,4.62935264622877
108,9.63590992145403,4.57049552815955
109,9.54880193237613,4.51186790464636
110,9.46153910018215,4.45347100303776
111,9.37412148885869,4.3953060545679
112,9.28654916930076,4.33737429430427
113,9.19882221939131,4.27967696109392
114,9.11094072408099,4.22221529750835
115,9.0229047754679,4.16499054978681
116,8.93471447287754,4.10800396777824
117,8.84636992294271,4.05125680488165
118,8.75787123968357,3.99475031798501
119,8.66921854458768,3.93848576740265
120,8.58041196669,3.88246441681109
121,8.49145164265295,3.82668753318335
122,8.40233771684641,3.77115638672167
123,8.31307034142768,3.71587225078874
124,8.22364967642128,3.66083640183724
125,8.13407588979876,3.60605011933784
126,8.04434915755832,3.55151468570564
127,7.95446966380429,3.49723138622487
