node_index,x_m,z_m
0,19.364414026729563,-5.589963954032565
1,19.27904134242534,-5.651090910235961
2,19.193598639385087,-5.712119956576001
3,19.10808595733624,-5.773050911014718
4,19.022503336472827,-5.833883591427052
5,18.93685081745662,-5.8946178156023725
6,18.85112844141832,-5.955253401246024
7,18.765336249958736,-6.01579016598087
8,18.67947428514994,-6.076227927348851
9,18.59354258953644,-6.136566502812552
10,18.507541206136334,-6.196805709756767
11,18.42147017844247,-6.256945365490085
12,18.335329550423598,-6.316985287246482
13,18.249119366525512,-6.376925292186906
14,18.1628396716722,-6.436765197400897
15,18.07649051126698,-6.496504819908187
16,17.990071931193633,-6.556143976660333
17,17.903583977817544,-6.615682484542335
18,17.817026697986808,-6.6751201603742825
19,17.73040013903337,-6.734456820912995
20,17.643704348774133,-6.79369228285368
21,17.556939375512073,-6.852826362831593
22,17.470105268037347,-6.911858877423703
23,17.383202075628393,-6.97078964315038
24,17.296229848053034,-7.029618476477074
25,17.209188635569568,-7.088345193816013
26,17.122078488927848,-7.146969611527903
27,17.034899459370386,-7.205491545923641
28,16.94765159863341,-7.2639108132660315
29,16.86033495894796,-7.322227229771514
30,16.772949593040927,-7.380440611611899
31,16.685495554136153,-7.4385507749161075
32,16.59797289595545,-7.4965575357719265
33,16.51038167271969,-7.5544607102277626
34,16.422721939149824,-7.612260114294414
35,16.334993750467937,-7.669955563946839
36,16.247197162398294,-7.727546875125947
37,16.159332231168342,-7.785033863740382
38,16.071399013509772,-7.8424163456683225
39,15.98339756665951,-7.899694136759293
40,15.895327948360753,-7.956867052835973
41,15.80719021686396,-8.013934909696022
42,15.718984430927865,-8.070897523113914
43,15.630710649820477,-8.127754708842762
44,15.54236893332006,-8.184506282616182
45,15.453959341716129,-8.241152060150135
46,15.365481935810426,-8.297691857144795
47,15.27693677691789,-8.354125489286414
48,15.188323926867628,-8.4104527722492
49,15.099643448003878,-8.46667352169721
50,15.010895403186957,-8.522787553286234
51,14.922079855794216,-8.578794682665695
52,14.833196869720979,-8.634694725480568
53,14.744246509381476,-8.690487497373287
54,14.655228839709785,-8.74617281398567
55,14.566143926160734,-8.801750490960856
56,14.476991834710836,-8.857220343945238
